address,district,subsection,refuse,recycling,organics,bulk
"94-10 207 STREET Queens",413,3D,TF,EF,EF,ET
"94-29 210 STREET Queens",413,3D,TF,EF,EF,ET
"109-12 211 STREET Queens",413,3E,WS,ES,ES,EW
"94-22 225 STREET Queens",413,3E,WS,ES,ES,EW
"94-60 224 STREET Queens",413,3E,WS,ES,ES,EW
"104-12 207 STREET Queens",413,4C,MTH,ETH,ETH,EM
"213-19 112 AVENUE Queens",413,4C,MTH,ETH,ETH,EM
"109-40 215 STREET Queens",413,4C,MTH,ETH,ETH,EM
"225-09 112 AVENUE Queens",413,4D,TF,EF,EF,ET
"219-12 109 AVENUE Queens",413,4D,TF,EF,EF,ET
"105-12 221 STREET Queens",413,4D,TF,EF,EF,ET
"114-11 SPRINGFIELD BLVD Queens",413,4E,WS,ES,ES,EW
"114-104 227 STREET Queens",413,4E,WS,ES,ES,EW
"227-22 113 AVENUE Queens",413,4E,WS,ES,ES,EW
"231-05 125 AVENUE Queens",413,5C,MTH,EM,EM,ETH
"235-05 129 AVENUE Queens",413,5C,MTH,EM,EM,ETH
"119-09 235 STREET Queens",413,5C,MTH,EM,EM,ETH
"232-24 SOUTH CONDUIT AVENUE Queens",413,5D,TF,ET,ET,EF
"118-26 225 STREET Queens",413,5D,TF,ET,ET,EF
"115-13 227 STREET Queens",413,5D,TF,ET,ET,EF
"219-16 118 AVENUE Queens",413,5E,WS,EW,EW,ES
"216-10 115 COURT Queens",413,5E,WS,EW,EW,ES
"115-06 220 STREET Queens",413,5E,WS,EW,EW,ES
"131-44 231 STREET Queens",413,6C,MTH,EM,EM,ETH
"243-23 131 ROAD Queens",413,6C,MTH,EM,EM,ETH
"240-12 128 AVENUE Queens",413,6C,MTH,EM,EM,ETH
"219-01 133 AVENUE Queens",413,6D,TF,ET,ET,EF
"130-15 228 STREET Queens",413,6D,TF,ET,ET,EF
"131-20 227 STREET Queens",413,6D,TF,ET,ET,EF
"138-20 229 STREET Queens",413,6E,WS,EW,EW,ES
"135-54 FRANCIS LEWIS BLVD Queens",413,6E,WS,EW,EW,ES
"134-32 230 STREET Queens",413,6E,WS,EW,EW,ES
"139-35 246 STREET Queens",413,7C,MTH,EM,EM,ETH
"244-29 136 ROAD Queens",413,7C,MTH,EM,EM,ETH
"136-12 241 STREET Queens",413,7C,MTH,EM,EM,ETH
"149-88 253 STREET Queens",413,7D,TF,ET,ET,EF
"149-34 WELLER LANE Queens",413,7D,TF,ET,ET,EF
"257-42 147 DRIVE Queens",413,7D,TF,ET,ET,EF
"245-42 149 AVENUE Queens",413,7E,WS,EW,EW,ES
"146-37 BROOKVILLE BOULEVARD Queens",413,7E,WS,EW,EW,ES
"245-20 148 ROAD Queens",413,7E,WS,EW,EW,ES
"136-39 222 STREET Queens",413,8C,MTH,EM,EM,ETH
"134-23 225 STREET Queens",413,8C,MTH,EM,EM,ETH
"136-23 221 STREET Queens",413,8C,MTH,EM,EM,ETH
"147-22 232 STREET Queens",413,8D,TF,ET,ET,EF
"144-16 232 STREET Queens",413,8D,TF,ET,ET,EF
"144-18 226 STREET Queens",413,8D,TF,ET,ET,EF
"145-30 159 STREET Queens",413,8E,WS,EW,EW,ES
"178-20 146 TERRACE Queens",413,8E,WS,EW,EW,ES
"177-65 MEADOW ROAD Queens",413,8E,WS,EW,EW,ES
"181 BEACH 145 STREET Queens",414,1C,MTH,EM,EM,ETH
"140-10 CRONSTON AVENUE Queens",414,1C,MTH,EM,EM,ETH
"431 BEACH 136 STREET Queens",414,1C,MTH,EM,EM,ETH
"5-45 BEACH 134 STREET Queens",414,1D,TF,ET,ET,EF
"441 BEACH 127 STREET Queens",414,1D,TF,ET,ET,EF
"126 BEACH 135 STREET Queens",414,1D,TF,ET,ET,EF
"117-09 NEWPORT AVENUE Queens",414,1E,WS,EW,EW,ES
"161 BEACH 118 STREET Queens",414,1E,WS,EW,EW,ES
"162D BEACH 109 STREET Queens",414,1E,WS,EW,EW,ES
"60 WEST 18 ROAD Queens",414,2C,MTH,ETH,ETH,EM
"318 BEACH 92 STREET Queens",414,2C,MTH,ETH,ETH,EM
"34 WEST 13 ROAD Queens",414,2C,MTH,ETH,ETH,EM
"6 BEACH 32 STREET Queens",414,2D,TF,EF,EF,ET
"325 BEACH 29 STREET Queens",414,2D,TF,EF,EF,ET
"632 BEACH 22 STREET Queens",414,2D,TF,EF,EF,ET
"6910 BEACH FRONT ROAD Queens",414,2E,WS,ES,ES,EW
"540 BEACH 67 STREET Queens",414,2E,WS,ES,ES,EW
"65-02 BEACH FRONT ROAD Queens",414,2E,WS,ES,ES,EW
"15-12 NEW HAVEN AVENUE Queens",414,3C,MTH,ETH,ETH,EM
"7-20 VIRGINIA STREET Queens",414,3C,MTH,ETH,ETH,EM
"753 CAFFREY AVENUE Queens",414,3C,MTH,ETH,ETH,EM
"1006 DICKENS STREET Queens",414,3D,TF,EF,EF,ET
"13-69 GIPSON STREET Queens",414,3D,TF,EF,EF,ET
"13-75 CHANDLER STREET Queens",414,3D,TF,EF,EF,ET
"29-62 OCEAN CREST BLVD Queens",414,3E,WS,ES,ES,EW
"25-11 OCEAN CREST BLVD Queens",414,3E,WS,ES,ES,EW
"29-43 FALCON AVENUE Queens",414,3E,WS,ES,ES,EW
